phrase,c1,c2
㑇,人,丿乙乙
㑊,人,丶一丿
㕮,口,丿丶丿
㘎,口,丶丨乙
㙍,土,乙丶
㙘,土,一丨
㙦,人一,土
㛃,一一,乙丿
㛚,乙丿,乙丶
㛹,乙丿,人一
㟃,丨乙,乙一
㠇,丨乙,丶一
㠓,丨乙,艹
㤘,丶丶,丿乙
㥄,丶丶,土
㧐,手,乙丶
㧑,手,丶丿
㧟,手,水一
㫰,日,丶乙
㬊,日,丿丶
㬎,日,乙乙
㬚,日,丶一
㭎,木,丨乙丿
㭕,木,土乙
㮾,丶乙,木
㰀,木,丿一丨
㳇,水,丿丶丿
㳘,水,丶一乙
㳚,水,一丿丶
㴔,水,丿乙乙
㵐,水,一丿丶
㶲,丶丿,丿乙
㸆,丶丿,丿一
㸌,丶丿,一丶
㺄,丿乙,人一
㻬,一一,一丶
㽏,水人,一丨
㿠,丿丨,丨丶
䁖,丨乙,丶丿
䂮,一一,一丿
䃅,一丿,丶丿
䃎,一丿,一丿
䅟,丿一,乙丶
䌹,乙乙,丨乙
䎃,丨乙,乙丶
䎖,丶丿,乙丶
䏝,月,一一乙
䏡,月,一一丨
䏲,月,丶丿乙
䐃,月,丨乙丿
䓖,艹,丶丶
䓛,艹,乙一
䓨,艹,丿一
䓫,艹,一丿
䓬,艹,丨一
䗖,丨乙,一丨
䗛,丨乙,人丨
䗪,丶一,丨乙
䗴,丨乙,丿一
䜣,丶乙,丿丿
䝙,丿丶,一丿
䢺,乙丨,乙丨
䢼,一丨,乙丨
䣘,丨丶,乙丨
䥽,金,乙丿
䦃,金,艹
䲟,丿乙,丿乙
䲠,丿乙,一一
䲢,月丶,丿乙
䴓,一丨,丿乙
䴔,丶一,丿乙
䴕,一丿,丿乙
䴖,一一,丿乙
䴗,丨乙,丿乙
䴘,丿丿,丿乙
䴙,乙一,丿乙
䶮,一丿,一一
一,一
丁,一丨
七,一乙
万,一乙丿
丈,一丿丶
三,一一一
上,丨一一
下,一丨丶
不,一丿丨丶
与,一乙一
丏,一丨乙乙
丐,一丨一乙
丑,乙丨一一
专,一一乙丶
且,丨乙一一
丕,一丿,一
世,一丨丨一
丘,丿丨一丨
丙,一丨乙丿
业,丨丨丶丿
丛,人人,一
东,一乙丨丿
丝,乙乙,一
丞,乙丨乙丿
丢,丿一,乙丶
两,一丨乙丿
严,一丨丨丶
丧,十,乙丿
个,人,丨
丫,丶丿,丨
中,丨乙一丨
丰,一一一丨
串,丨乙一丨
临,丨丨,丿一
丸,丿乙丶
丹,丿乙丶一
为,丶丿乙丶
主,丶,一一丨
丽,一,丨乙丶
举,丶丶,一一
乂,丿丶
乃,乙丿
久,丿乙丶
么,丿,乙丶
义,丶丿丶
之,丶乙丶
乌,丿乙乙一
乍,丿一丨一
乎,丿丶丿一
乏,丿,丶乙丶
乐,丿乙丨丿
乒,丿丨,丿
乓,丿丨,丶
乔,丿一,丿丨
乖,丿一,丨一
乘,丿一,丨一
乙,乙
乜,乙乙
九,丿乙
乞,丿一,乙
也,乙丨乙
习,乙丶一
乡,乙乙丿
书,乙乙丨丶
乩,丨一,乙
买,乙,丶丶一
乱,丿一,乙
乳,丿丶,乙
乸,乙丨,乙乙
乾,十,丿一
了,乙丨
予,乙丶乙丨
争,丿乙,乙一
事,一丨乙一
二,一一
亍,一一丨
于,一一丨
亏,一一乙
云,一一乙丶
互,一乙乙一
亓,一一丿丨
五,一丨乙一
井,一一丿丨
亘,一,日一
亚,一丨丨丶
些,丨一,一一
亟,乙丨,口乙
亡,丶一乙
亢,丶一,丿乙
交,丶一,丿丶
亥,丶一乙丿
亦,丶一,丿丨
产,丶一丶丿
亨,丶一,乙丨
亩,丶一,丨乙
享,丶一,乙丨
京,丶一,丨丿
亭,丶一,一丨
亮,丶一,丿乙
亲,丶一,木
亳,丶一,丿一
亵,丶一,手
亶,丶一,日
亸,丶一,丶丿
亹,丶一,丿丨
人,人
亿,人,乙
什,人,十
仁,人,一一
仂,人,乙丿
仃,人,一丨
仄,一丿,人
仅,人,乙丶
仆,人,丨丶
仇,人,丿乙
仉,人,丿乙
今,人丶乙
介,人,丿丨
仍,人,乙丿
从,人,人
仑,人,丿乙
仓,人,乙乙
仔,人,乙丨一
仕,人,土
他,人,乙丨乙
仗,人,一丿丶
付,人,一丨丶
仙,人,丨乙丨
仝,人,一丨一
仞,人,乙丿丶
仟,人,丿一丨
仡,人,丿一乙
代,人,一乙丶
令,人丶,乙丶
以,乙丶人
仨,人,一一一
仪,人,丶丿丶
仫,人,丿乙丶
们,人,丶丨乙
仰,人,丿乙乙
仲,人,丨乙一
仳,人,一乙丿
仵,人,丿一十
件,人,丿一一
价,人,人丿丨
任,人,丿一丨
份,人,丿丶乙
仿,人,丶一乙
企,人,丨一丨
伈,人,丶乙丶
伉,人,丶一丿
伊,人,乙一一
伋,人,丿乙丶
伍,人,一丨乙
伎,人,十乙
伏,人,一丿丶
伐,人,一乙丿
休,人,木
众,人,人人
优,人,一丿乙
伙,人,丶丿人
会,人,一一乙
伛,人,一丿丶
伞,人,丶丿十
伟,人,一一乙
传,人,一一乙
伢,人,一乙丨
伣,人,丨乙丿
伤,人,丿一乙
伥,人,丿一乙
伦,人,人丿乙
伧,人,人乙乙
伪,人,丶丿乙
伫,人,丶丶乙
伭,人,丶一乙
伯,人,丿丨乙
估,人,十口
伲,人,乙一丿
伴,人,丶丿一
伶,人,人丶乙
伸,人,丨乙一
伺,人,乙一口
似,人,乙丶人
伽,人,乙丿口
伾,人,一丿丨
佁,人,乙丶口
佃,人,丨乙一
但,人,日一
位,人,丶一丶
低,人,丿乙一
住,人,丶一一
佐,人,一丿一
佑,人,一丿口
体,人,一丨丿
何,人,一口丨
佖,人,丶乙丶
佗,人,丶丶乙
佘,人,一一丨
余,人一木
佚,人,丿一一
佛,人,乙一乙
作,人,丿一丨
佝,人,丿乙口
佞,人,一一乙
佟,人,丿乙丶
你,人,丿乙丨
佣,人,丿乙一
佤,人,一乙乙
佥,人一丶丶
佩,人,丿乙一
佬,人,十一
佯,人,丶丿一
佰,人,一丿日
佳,人,土土
佴,人,一丨丨
佶,人,土口
佸,人,丿一丨
佺,人,人一一
佻,人,丿丶一
佼,人,丶一丿
佽,人,丶一丿
佾,人,丿丶月
使,人,一丨乙
侁,人,丿一丨
侂,人,丶一丿
侃,人,口丿丨
侄,人,一乙丶
侈,人,丿乙丶
侉,人,一丿丶
例,人,一丿乙
侍,人,土一
侏,人,丿一一
侑,人,一丿月
侔,人,乙丶丿
侗,人,丨乙一
侘,人,丶丶乙
供,人,一丨丨
依,人,丶一丿
侠,人,一丶丿
侣,人,口口
侥,人,一乙丿
侦,人,丨一贝
侧,人,贝丨
侨,人,丿一丿
侩,人,人一一
侪,人,丶一丿
侬,人,丶乙丿
侮,人,丿一乙
侯,人,乙一丿
侴,人一,乙丨
侵,人,乙一一
侹,人,丿一丨
便,人,一丨乙
促,人,口丨一
俄,人,丿一丨
俅,人,一丨丶
俊,人,乙丶丿
俍,人,丶乙一
俎,人人,丨乙
俏,人,丨丶丿
俐,人,丿一丨
俑,人,乙丶丨
俗,人,丿丶人
俘,人,丿丶丶
俙,人,丿丶一
俚,人,丨乙一
俜,人,丨乙一
保,人,口木
俞,人一,月丨
俟,人,乙丶丿
信,人,丶一一
俣,人,口一一
俦,人,一一一
俨,人,一丨丨
俩,人,一丨乙
俪,人,一丨乙
俫,人,一丶丿
俭,人,人一丶
修,人丨,丿乙
俯,人,丶一丿
俱,人,丨乙一
俳,人,丨一一
俵,人,一一丨
俶,人,丨一一
俸,人,一一一
俺,人,一丿丶
俾,人,丿丨乙
倌,人,丶丶乙
倍,人,丶一丶
倏,人丨,丿乙
倒,人,一乙丶
倓,人,丶丿人
倔,人,乙一丿
倕,人,丿一丨
倘,人,丨丶丿
候,人丨,乙一
倚,人,一丿丶
倜,人,丿乙土
倞,人,丶一口
借,人,一丨丨
倡,人,日日
倥,人,丶丶乙
倦,人,丶丿一
倧,人,丶丶乙
倨,人,乙一丿
倩,人,一一丨
倪,人,丿丨一
倬,人,丨一口
倭,人,丿一丨
倮,人,丨乙一
倴,人,一丿丶
债,人,一一丨
倻,人,一丨丨
值,人,十丨
倾,人,一乙一
偁,人,丿丶丶
偃,人,一日
假,人,乙一丨
偈,人,日丿
偌,人,艹一
偎,人,丨乙一
偏,人,丶乙一
偓,人,乙一丿
偕,人,一乙丿
做,人,十口
停,人,丶一口
偡,人,一丨丨
健,人,乙一一
偬,人,丿乙丿
偭,人,一丿丨
偰,人,一一一
偲,人,丨乙一
偶,人,丨乙一
偷,人,人一月
偻,人,丶丿木
偾,人,十艹
偿,人,丨丶丿
傀,人,丿丨乙
傃,人,一一丨
傅,人,一丨乙
傈,人,一丨乙
傉,人,一丿一
傍,人,丶一丶
傒,人,丿丶丶
傕,人,丶乙丿
傣,人,一一一
傥,人,丨丶丿
傧,人,丶丶乙
储,人,丶乙十
傩,人,乙丶人
催,人,丨乙丨
傲,人,一一丨
傺,人,丿乙丶
傻,人,丿丨乙
僇,人,乙丶一
僎,人,乙一乙
像,人,丿乙丨
僔,人,丶丿一
僖,人,土口
僚,人,一丿丶
僦,人,丶一口
僧,人,丶丿丨
僬,人,人丶一
僭,人,一乙丿
僮,人,丶一丶
僰,一丨,人
僳,人,一丨乙
僵,人,一丨乙
僻,人,乙一丿
儆,人,艹丿
儇,人,丨乙丨
儋,人,丿乙一
儒,人,一丶乙
儡,人,丨乙一
儦,人,丶一丿
儳,人,丿乙口
儴,人,丶一口
儿,丿乙
兀,一丿乙
允,乙丶,丿乙
元,一一丿乙
兄,口,丿乙
充,丶一,丿乙
兆,丿丶,乙丿
先,丿一,丿乙
光,丨丶,丿乙
克,十口丿
免,丿乙丨乙
兑,丶丿,丿乙
兔,丿乙丨乙
兕,丨乙,丿乙
兖,丶一,丿丶
党,丨丶,丿乙
兜,丿丨,丿乙
兢,十,十
入,丿丶
全,人,一一丨
八,丿丶
公,丿丶,乙丶
六,丶一,丿丶
兮,丿丶,一乙
兰,丶丿,一一
共,一丨,丿丶
关,丶丿一一
兴,丶丶,丿丶
兵,丿丨,丿丶
其,一丨,丿丶
具,丨乙,丿丶
典,丨乙,丿丶
兹,丶丿,乙乙
养,丶丿,丿丨
兼,丶丿一乙
兽,丶丿,一口
冀,丨一,丨乙
冁,丶丿,乙一
内,丨乙丿丶
冈,丨乙,丿丶
冉,丨乙丨一
册,丿乙丿乙
再,一丨乙丨
冏,丨乙,丿丶
冒,丨乙,丨乙
冔,丨乙,口一
冕,丨乙,丿乙
冗,丶乙,丿乙
写,丶乙,一乙
军,丶乙,一乙
农,丶乙丿乙
冠,丶乙,一一
冢,丶乙,一丿
冤,丶乙,丿乙
冥,丶乙,日
冬,丿乙,丶丶
冮,丶一,一丨
冯,丶一,乙乙
冰,丶一,水
冱,丶一,一乙
冲,丶一,丨乙
决,丶一,乙一
况,丶一,口丿
冶,丶一,乙丶
冷,丶一,人丶
冻,丶一,一乙
冼,丶一,丿一
冽,丶一,一丿
净,丶一,丿乙
凄,丶一,一乙
准,丶一,人丶
凇,丶一,木丿
凉,丶一,丶一
凋,丶一,丿乙
凌,丶一,土
减,丶一,一丿
凑,丶一,一一
凓,丶一,一丨
凘,丶一,一丨
凛,丶一,丶一
凝,丶一,丿乙
几,丿乙
凡,丿乙,丶
凤,丿乙,乙丶
凫,丿乙,丿乙
凭,人丿,丿乙
凯,丨乙,丿乙
